order_month,total_revenue,total_orders,avg_order_value
2016-10,62591.65,270,196.21206896551723
2016-12,19.62,1,19.62
2017-01,176491.49,750,193.30940854326394
2017-02,325371.31,1650,175.40232345013476
2017-03,502815.22,2535,174.28603812824954
2017-04,454809.22000000003,2296,177.5904802811402
2017-05,699063.25,3542,174.8532391195598
2017-06,585082.35,3133,167.83773666092944
2017-07,716069.98,3872,162.15352807971013
2017-08,842689.94,4193,175.67019804044193
2017-09,996207.31,4149,210.34782728040543
2017-10,998609.62,4478,191.52466820099733
2017-11,1546527.09,7283,182.6103542330854
2017-12,1019380.0,5511,164.8148746968472
2018-01,1371378.22,7066,170.69681603186459
2018-02,1278762.94,6552,170.16140252827677
2018-03,1435458.33,7003,179.05180616190597
2018-04,1466607.15,6798,187.3779417401303
2018-05,1480465.63,6748,189.58453451146113
2018-06,1285352.15,6095,183.46448044533255
2018-07,1306707.42,6156,187.74531896551724
2018-08,1211240.09,6351,169.59396387566508
